/usr/lib64/python2.7/site-packages/h5py/__init__.py:36: FutureWarning: Conversion of the second argument of issubdtype from `float` to `np.floating` is deprecated. In future, it will be treated as `np.float64 == np.dtype(float).type`.
  from ._conv import register_converters as _register_converters
2018-05-03 22:42:43.345630: I tensorflow/core/platform/cpu_feature_guard.cc:140] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2018-05-03 22:42:44.912384: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1212] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.582
pciBusID: 0000:05:00.0
totalMemory: 10.92GiB freeMemory: 10.76GiB
2018-05-03 22:42:44.912423: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1312] Adding visible gpu devices: 0
2018-05-03 22:42:45.147770: I tensorflow/core/common_runtime/gpu/gpu_device.cc:993] Creating TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 11178 MB memory) -> physical GPU (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:05:00.0, compute capability: 6.1)
2018-05-03 22:42:45.148886: E tensorflow/stream_executor/cuda/cuda_driver.cc:936] failed to allocate 10.92G (11721113600 bytes) from device: CUDA_ERROR_OUT_OF_MEMORY
finish loading vgg16 model
the step is 000000  mae is 0.291865  sad is 896.609802  mse is 0.339980  mae_t is 0.942919  sad is 26.183924  mse is 1.239487
the step is 000001  mae is 0.256826  sad is 788.970825  mse is 0.285495  mae_t is 0.770969  sad is 15.994540  mse is 0.878517
the step is 000002  mae is 0.279397  sad is 858.308899  mse is 0.305432  mae_t is 0.656294  sad is 6.134384  mse is 0.719059
the step is 000003  mae is 0.216724  sad is 665.775024  mse is 0.235346  mae_t is 0.652112  sad is 8.916340  mse is 0.686096
the step is 000004  mae is 0.239713  sad is 736.398682  mse is 0.258957  mae_t is 0.707797  sad is 3.563766  mse is 0.688363
the step is 000005  mae is 0.273633  sad is 840.599487  mse is 0.299602  mae_t is 0.708991  sad is 10.188916  mse is 0.723902
the step is 000006  mae is 0.237259  sad is 728.859680  mse is 0.255908  mae_t is 0.713514  sad is 16.415825  mse is 0.715665
the step is 000007  mae is 0.255720  sad is 785.571533  mse is 0.278816  mae_t is 0.724909  sad is 5.396955  mse is 0.767993
the step is 000008  mae is 0.285165  sad is 876.026733  mse is 0.315703  mae_t is 0.602438  sad is 6.349101  mse is 0.583568
the step is 000009  mae is 0.250473  sad is 769.452271  mse is 0.273005  mae_t is 0.599672  sad is 15.133928  mse is 0.594588
the step is 000010  mae is 0.244004  sad is 749.581543  mse is 0.267660  mae_t is 0.527546  sad is 7.559209  mse is 0.500569
the step is 000011  mae is 0.306565  sad is 941.768616  mse is 0.340680  mae_t is 0.742968  sad is 2.637544  mse is 0.758540
the step is 000012  mae is 0.303754  sad is 933.131897  mse is 0.336761  mae_t is 0.715173  sad is 4.759481  mse is 0.732964
the step is 000013  mae is 0.234758  sad is 721.175476  mse is 0.254099  mae_t is 0.796149  sad is 3.039707  mse is 0.868733
the step is 000014  mae is 0.259961  sad is 798.601013  mse is 0.282071  mae_t is 0.507878  sad is 13.163194  mse is 0.490813
the step is 000015  mae is 0.254546  sad is 781.964355  mse is 0.278776  mae_t is 0.781353  sad is 11.368700  mse is 0.842427
the step is 000016  mae is 0.268222  sad is 823.979553  mse is 0.289738  mae_t is 0.619817  sad is 12.370305  mse is 0.621178
the step is 000017  mae is 0.261961  sad is 804.744934  mse is 0.284144  mae_t is 0.647593  sad is 11.828294  mse is 0.672451
the step is 000018  mae is 0.221092  sad is 679.196106  mse is 0.236602  mae_t is 0.688573  sad is 16.706158  mse is 0.696388
